Year,Number (thousands),Lowest,Second,Third,Fourth,Top 5 percent
2018,128579.0,25600.0,50000.0,79542.0,130000.0,248728.0
2017 (40),127669.0,24827.0,47218.0,77158.0,126605.0,244088.0
2017.0,127586.0,24638.0,47110.0,77552.0,126855.0,237034.0
2016.0,126224.0,24518.0,46581.0,76479.0,123621.0,230095.0
2015.0,125819.0,23591.0,45020.0,74498.0,121060.0,221900.0
2014.0,124587.0,22213.0,42688.0,70699.0,116355.0,214100.0
2013 (39),123931.0,22134.0,43251.0,70830.0,116186.0,216208.0
2013 (38),122952.0,22029.0,42358.0,69039.0,111631.0,206587.0
2012.0,122459.0,22033.0,42533.0,69079.0,111344.0,204466.0
2011.0,121084.0,22132.0,42075.0,68196.0,110956.0,203165.0
2010.0,119927.0,22534.0,42815.0,69293.0,112704.0,203355.0
2009.0,117538.0,23425.0,44151.0,70781.0,114530.0,206156.0
2008.0,117181.0,23639.0,44512.0,71589.0,114406.0,205438.0
2007.0,116783.0,24048.0,46340.0,73480.0,118516.0,209773.0
2006.0,116011.0,24418.0,46038.0,73126.0,118260.0,212081.0
2005.0,114384.0,24131.0,45298.0,72552.0,115390.0,208874.0
2004 (35),113343.0,24048.0,45109.0,71849.0,114482.0,204439.0
2003.0,112000.0,24027.0,45426.0,72752.0,116058.0,205912.0
2002.0,111278.0,24480.0,45606.0,72640.0,114799.0,204961.0
2001.0,109297.0,24941.0,46237.0,73560.0,115892.0,208882.0
2000 (30),108209.0,25580.0,47106.0,74475.0,116716.0,207293.0
1999 (29),106434.0,25291.0,47110.0,74361.0,116937.0,209575.0
1998.0,103874.0,24292.0,45834.0,72859.0,113048.0,199264.0
1997.0,102528.0,23527.0,44609.0,70275.0,109232.0,193333.0
1996.0,101018.0,23049.0,43326.0,68682.0,106154.0,186571.0
1995 (25),99627.0,23073.0,43125.0,67300.0,104349.0,181061.0
1994 (24),98990.0,22031.0,41351.0,65800.0,103116.0,180206.0
1993 (23),97107.0,21722.0,41342.0,64985.0,101013.0,175289.0
1992 (22),96426.0,21639.0,41458.0,65090.0,99622.0,170058.0
1991.0,95669.0,22162.0,42243.0,65248.0,99902.0,169675.0
1990.0,94312.0,22802.0,43163.0,66034.0,100702.0,172835.0
1989.0,93347.0,23153.0,44024.0,67664.0,102807.0,175619.0
1988.0,92830.0,22739.0,42952.0,66938.0,101074.0,171090.0
1987 (21),91124.0,22356.0,42434.0,66239.0,100109.0,167517.0
1986.0,89479.0,21940.0,41967.0,65132.0,98455.0,165096.0
1985 (20),88458.0,21658.0,40749.0,63126.0,94941.0,156871.0
1984.0,86789.0,21408.0,40066.0,61728.0,93247.0,154360.0
1983 (19),85290.0,21005.0,39057.0,59945.0,90593.0,149047.0
1982.0,83918.0,20559.0,39101.0,59742.0,89087.0,147058.0
1981.0,83527.0,20824.0,38929.0,60210.0,89017.0,143258.0
1980.0,82368.0,21240.0,39832.0,61066.0,89412.0,143892.0
1979 (18),80776.0,22108.0,41059.0,63170.0,91592.0,148001.0
1978.0,77330.0,21847.0,41308.0,62501.0,90900.0,145420.0
1977.0,76030.0,21187.0,39906.0,60827.0,88680.0,140409.0
1976 (17),74142.0,21232.0,39557.0,60258.0,86695.0,137486.0
1975 (16),72867.0,20771.0,38983.0,58907.0,84580.0,133470.0
1974 (16)(15),71163.0,21849.0,40528.0,59886.0,86914.0,137567.0
1973.0,69859.0,21744.0,41812.0,61865.0,89073.0,143164.0
1972 (14),68251.0,21282.0,40987.0,60577.0,86703.0,139539.0
1971 (13),66676.0,20567.0,39207.0,57695.0,82267.0,130642.0
1970.0,64778.0,20835.0,39913.0,58054.0,82827.0,130926.0
1969.0,63401.0,21192.0,40664.0,58809.0,82396.0,129225.0
1968.0,62214.0,20576.0,39010.0,55915.0,78565.0,122913.0
1967 (12),60813.0,19305.0,37644.0,53429.0,76190.0,122264.0
